vqa, target num:0, total attack num:5,best loss: 0.0001176595687866211
vqa_specific, target num:0, total attack num:6,best loss: 0.0001176595687866211
cls, target num:0, total attack num:13,best loss: 0.0001176595687866211
cap, target num:0, total attack num:16,best loss: 0.0001176595687866211
vqa, target num:0, total attack num:3,best loss: 0.0003020763397216797
vqa_specific, target num:0, total attack num:5,best loss: 0.0003020763397216797
cls, target num:0, total attack num:10,best loss: 0.0003020763397216797
cap, target num:0, total attack num:13,best loss: 0.0003020763397216797
vqa, target num:0, total attack num:2,best loss: 0.00017344951629638672
vqa_specific, target num:0, total attack num:5,best loss: 0.00017344951629638672
cls, target num:0, total attack num:10,best loss: 0.00017344951629638672
cap, target num:0, total attack num:11,best loss: 0.00017344951629638672
vqa, target num:0, total attack num:2,best loss: 0.00015151500701904297
vqa_specific, target num:0, total attack num:0,best loss: 0.00015151500701904297
cls, target num:0, total attack num:9,best loss: 0.00015151500701904297
cap, target num:0, total attack num:13,best loss: 0.00015151500701904297
vqa, target num:0, total attack num:2,best loss: 4.1604042053222656e-05
vqa_specific, target num:0, total attack num:5,best loss: 4.1604042053222656e-05
cls, target num:0, total attack num:14,best loss: 4.1604042053222656e-05
cap, target num:0, total attack num:10,best loss: 4.1604042053222656e-05
vqa, target num:0, total attack num:3,best loss: 0.00019419193267822266
vqa_specific, target num:0, total attack num:3,best loss: 0.00019419193267822266
cls, target num:0, total attack num:15,best loss: 0.00019419193267822266
cap, target num:0, total attack num:13,best loss: 0.00019419193267822266
vqa, target num:0, total attack num:1,best loss: 8.225440979003906e-05
vqa_specific, target num:0, total attack num:4,best loss: 8.225440979003906e-05
cls, target num:0, total attack num:11,best loss: 8.225440979003906e-05
cap, target num:0, total attack num:10,best loss: 8.225440979003906e-05
vqa, target num:0, total attack num:3,best loss: 0.0011491775512695312
vqa_specific, target num:0, total attack num:5,best loss: 0.0011491775512695312
cls, target num:0, total attack num:14,best loss: 0.0011491775512695312
cap, target num:0, total attack num:12,best loss: 0.0011491775512695312
vqa, target num:0, total attack num:2,best loss: 0.00016415119171142578
vqa_specific, target num:0, total attack num:5,best loss: 0.00016415119171142578
cls, target num:0, total attack num:7,best loss: 0.00016415119171142578
cap, target num:0, total attack num:12,best loss: 0.00016415119171142578
vqa, target num:0, total attack num:5,best loss: 0.00039887428283691406
vqa_specific, target num:0, total attack num:4,best loss: 0.00039887428283691406
cls, target num:0, total attack num:11,best loss: 0.00039887428283691406
cap, target num:0, total attack num:13,best loss: 0.00039887428283691406
vqa, target num:0, total attack num:5,best loss: 0.0006361007690429688
vqa_specific, target num:0, total attack num:4,best loss: 0.0006361007690429688
cls, target num:0, total attack num:7,best loss: 0.0006361007690429688
cap, target num:0, total attack num:8,best loss: 0.0006361007690429688
vqa, target num:0, total attack num:4,best loss: 4.5299530029296875e-05
vqa_specific, target num:0, total attack num:8,best loss: 4.5299530029296875e-05
cls, target num:0, total attack num:8,best loss: 4.5299530029296875e-05
cap, target num:0, total attack num:11,best loss: 4.5299530029296875e-05
vqa, target num:0, total attack num:1,best loss: 6.341934204101562e-05
vqa_specific, target num:0, total attack num:2,best loss: 6.341934204101562e-05
cls, target num:0, total attack num:17,best loss: 6.341934204101562e-05
cap, target num:0, total attack num:14,best loss: 6.341934204101562e-05
vqa, target num:0, total attack num:1,best loss: 0.0001747608184814453
vqa_specific, target num:0, total attack num:4,best loss: 0.0001747608184814453
cls, target num:0, total attack num:7,best loss: 0.0001747608184814453
cap, target num:0, total attack num:8,best loss: 0.0001747608184814453
vqa, target num:0, total attack num:1,best loss: 0.00023698806762695312
vqa_specific, target num:0, total attack num:7,best loss: 0.00023698806762695312
cls, target num:0, total attack num:11,best loss: 0.00023698806762695312
cap, target num:0, total attack num:11,best loss: 0.00023698806762695312
